signature_link,signature,page_numbers_included,bibliographic_description,author,title,publishing_place,publisher,publication_year,scraped_title,scraped_author,scraped_publisher,scraped_place,scraped_year,scraped_ppn,scrape_status
http://diglib.hab.de/drucke/47-phys-2f/start.htm,47-phys-2f,"5, 42, 45, 52, 55, 56, 58, 60, 63, 135",Ğābir Ibn-Ḥaiyān: Das Buoch vonn der Verborgenheyt der Alchimia,Ğābir Ibn-Ḥaiyān,Das Buoch vonn der Verborgenheyt der Alchimia,,Das,,"Das buoch geberi || Des hochberümpten Phylosophy || vonn der verborgenheyt der Alchimia/ kützlich in dreyer bücher || getheylt/ vnd geschiklicher weiß eroffnet/ dise kunst wie sye zu er||ergründenn oder zu fynden sy.|| Auch dreyen hochuerstenlichen || wörterenn dise loblich kunst auß trukende.||[v.Kh?lid ibn Yaz~id, al-Umaw~i] Auch ein epistel des Keysers Alexandri/|| der erst erfarende/ in Gretia Mace=||donia vnnd Persia regniert hat ||",,"Farckall, Amandus",Straßburg,1530,828680752,ok
http://diglib.hab.de/drucke/52-med-4s/start.htm,52-med-4s,2,,,,,,,"LIBER MINERALI/||um Domini Alberti Magni/Alemanni/ ex Lau=||gingen oriundus, Ratisponensis Ecclesie || Episcopus, Vir in Diuinis scripturis || Doctissimus, & in Secularis Phi||losophie Sc~ia Peritissimus || ... ||","<Magnus>,","Köbel, Jakob",Oppenheim,1518,817156895,ok
http://diglib.hab.de/drucke/54-med-1s/start.htm,54-med-1s,"26, 28, 30, 31, 33, 35, 37, 38, 39, 41, 43, 45, 46, 49, 51, 57, 58, 59, 60, 61, 62, 63, 89, 138, 144, 158",,,,,,,"Joannis Baptistae Portae Neapolitani, De Distillationibus, Libri IX.. Quibus Certa Methodo, Multiplicique artificio, penitioribus naturae arcanis detectis, cuius libet mixti in propria elementa resolutio perfecte docetur. Quibus Certa Methodo, Multiplicique artificio, penitioribus naturae arcanis detectis, cuius libet mixti in propria elementa resolutio perfecte docetur","Della Porta, Giambattista; [u.a.]",Zetzner; [u.a.],Argentorati; [u.a.],1609,091905737,ok
http://diglib.hab.de/drucke/552-22-quod/start.htm,552-22-quod,"48, 70, 77, 206",,,,,,,"I Secreti Della Signora Isabella Cortese. Ne'Qvali Si Contengono cose minerali, medecinali, arteficiose, & Alchimiche. Et Molto De L'Arte Profvmatoria, appartenenti a ogni gran Signora ; Con altri belissimi Secreti aggiunti","Cortese, Isabella",Cornetti,Venetia,1584,816070008,ok
http://diglib.hab.de/drucke/74-phys/start.htm,74-phys,"446, 454, 456, 661",,,,,,,"IO. BAPTISTAE || PORTAE NEAPOLITA-||NI, MAGIAE NATVRALIS || LIBRI VIGINTI.|| Ab ipso quidem authore ante biennium ad-||aucti, nunc verò ab infinitis, quibus editio il-||la scatebat mendis, optimè repurgati: in qui-||bus scientiarum Naturalium diuitiae & deli-||ciae demonstrantur.|| Acceßit INDEX ... ||","Della Porta, Giambattista","Marne, Claude de und Aubry, Johann",Frankfurt/Main,1591,834819864,ok
http://diglib.hab.de/drucke/89-4-quod-2f-1s/start.htm,89-4-quod-2f-1s,"13, 14, 17, 65","Fludd, Robert: Philosophia Moysaica","Fludd, Robert",Philosophia Moysaica,,Philosophia,,Philosophia Moysaica. In qua Sapientia & scientia creationis & creaturarum sacra veréque Christiana ... ad amussim & enucleate explicatur. In qua Sapientia & scientia creationis & creaturarum sacra veréque Christiana ... ad amussim & enucleate explicatur,"Flud, Robert",Rammazenius,Goudae,1638,834823314,ok
http://diglib.hab.de/drucke/95-1-quod-2f-2s/start.htm,95-1-quod-2f-2s,"1, 9, 21, 25, 30, 31, 55, 71, 74, 100, 109, 130, 134, 136, 137, 140, 155, 167, 169, 172, 184, 194, 204, 216, 222, 225, 229, 232, 244, 264, 267",,,,,,,Beschreibung/ Aller furnemisten Mineralischen Ertzt unnd Bergwercks arten/ wie dieselbigen/ unnd eine jede insonderheit/ ihrer Natur und Eygenschafft nach/ auff alle Metalla Probirt/ und im kleinen Fewer sollen versucht werden. mit Erklärung etlicher fürnemmer nützlicher Schmeltzwerck/ im grossen Fewer/ auch scheidung Golts/ Silbers/ und anderer Metalln ... in fünff Bücher verfast/ Deßgleichen zuvorn niemals in Druck kommen .... mit Erklärung etlicher fürnemmer nützlicher Schmeltzwerck/ im grossen Fewer/ auch scheidung Golts/ Silbers/ und anderer Metalln ... in fünff Bücher verfast/ Deßgleichen zuvorn niemals in Druck kommen ...,"Ercker, Lazarus",Rhothius,Franckfurt am Mayn,1623,715138391,ok
http://diglib.hab.de/drucke/96-1-phys/start.htm,96-1-phys,"91, 93, 96",,,,,,,Les Elemens De Chymie De M. Iean Begvin Aumosnier du Roy,"Béguin, Jean",Rigaud & Michalet,Lyon,1658,825506379,ok
http://diglib.hab.de/drucke/hr-424/start.htm,hr-424,349,,,,,,,Der Heimliche und unerforschliche Natur-Kündiger/ Oder: Accurate Beschreibung Von der Wünschel-Ruthe. Darinnen enthalten Der besondere Nutz bey Entdeckung der Wasser-Quellen/ Metallen/ vergrabenen Schätze/ flüchtiger Diebe und Mörder. ... ; Aus dem Frantzösischen in das Hochteutsche übersetzet ... und mit vielen hierzu dienlichen Kupffer-Figuren erläutert. Darinnen enthalten Der besondere Nutz bey Entdeckung der Wasser-Quellen/ Metallen/ vergrabenen Schätze/ flüchtiger Diebe und Mörder. ... ; Aus dem Frantzösischen in das Hochteutsche übersetzet ... und mit vielen hierzu dienlichen Kupffer-Figuren erläutert,"Le Lorrain de Vallemont, Pierre",Otto,Nürnberg,1694,726696951,ok
http://diglib.hab.de/drucke/li-51/start.htm,li-51,184,,,,,,,"Les Admirables Secrets D'Albert Le Grand. Contenant Plusieurs Traittez sur la Conception des Femmes, & les vertus des Herbes, des Pierres prècieuses, & des Animaux ; Augmentez d'un Abregé curieux de Phisionomie, & d'un Preservatif contre la Peste, les Fievres maglines, les Poisons, & l'infection de l'Air ; Tirez et traduits. Sur des anciens Manuscrits de l'Auteur ... ; Divisez en quatre Livres",,le Dispensateur des Secrets,Cologne,1706,845444484,ok
http://diglib.hab.de/drucke/ma-149-1s/start.htm,ma-149-1s,777,,,,,,,"Angeli Salae Vicentini Chymiatri Candidissimi Et Archiatri Megapolitani Opera Medico-Chymica Quae Extant Omnia. Frustulatim Hactenus, Diversisque linguis excusa, nunc in unum collecta latinoque idiomate edita ; Addito indice rerum & verborum locupletissimo","Sala, Angelus",Beyerus,Francofurti,1647,74085481X,ok
http://diglib.hab.de/drucke/mf-12/start.htm,mf-12,5,,,,,,,Antoni[i] Guntheri[i] Billichi[i] Frisi[i] Archiatri Oldenburgensis Observationum ac Paradoxorum chymiatricorum Libri Duo. Quorum Unus medicamentorum Chymicorum præparatione[m]: Alter eorundem usum succincte perspicueq[ue] explicat,"Billichius, Antonius Guntherus",Maire,Lugduni Batavorum,1631,843608153,ok
http://diglib.hab.de/drucke/mf-2f-6-2b/start.htm,mf-2f-6-2b,"55, 57, 61, 63, 65, 69, 71, 819, 1145, 1149",,,,,,,"Jo. Jacobi Mangeti, Medicinæ Doctoris, & Serenissimi ac Potentiss. Regis Prvssiæ Archiatri, Bibliotheca Pharmaceutico-Medica, Seu Rerum ad Pharmaciam Galenico-Chymicam spectantium Thesaurus Refertissimus. In quo, Ordine Alphabetico non Omnis tantùm Materia Medica, Historicè, Physicè, Chymicè ac Anatomicè explicata; sed & Celebriores quæque Compositiones ... excerptæ ...; Cum Indicibus Et Figuris Æneis Necessariis. In quo, Ordine Alphabetico non Omnis tantùm Materia Medica, Historicè, Physicè, Chymicè ac Anatomicè explicata; sed & Celebriores quæque Compositiones ... excerptæ ...; Cum Indicibus Et Figuris Æneis Necessariis","Mangetus, Joannes Jacobus",De Tournes,Genevae,1703,86078729X,ok
