signature_link,signature,page_numbers_included,bibliographic_description,author,title,publishing_place,publisher,publication_year
http://diglib.hab.de/drucke/xb-3534/start.htm,xb-3534,9,"Croll, Oswald: Osualdi Crolli Veterani Hassi Basilica Chymica","Croll, Oswald",Osualdi Crolli Veterani Hassi Basilica Chymica,,Osualdi,
http://diglib.hab.de/drucke/xb-3832/start.htm,xb-3832,"91, 95, 103, 119, 139, 143",,,,,,
http://diglib.hab.de/drucke/xb-4679-2s/start.htm,xb-4679-2s,"19, 23, 25, 29, 33, 36, 37, 42, 584",,,,,,
http://diglib.hab.de/drucke/xb-4819/start.htm,xb-4819,"7, 8, 9, 12, 14, 15, 19, 20, 23, 268",Alchymistische Practic: Das ist Von kÃ¼nstlicher Zubereytung der vornembsten Chymischen Medicinen,Alchymistische Practic,Das ist Von kÃ¼nstlicher Zubereytung der vornembsten Chymischen Medicinen,,Das,
http://diglib.hab.de/drucke/xb-4f-8-2/start.htm,xb-4f-8-2,"29, 30, 31, 192, 193",,,,,,
http://diglib.hab.de/drucke/xb-6197-2s/start.htm,xb-6197-2s,"301, 302, 304, 307, 413",,,,,,
http://diglib.hab.de/drucke/xb-7748/start.htm,xb-7748,136,,,,,,
http://diglib.hab.de/drucke/xb-7884/start.htm,xb-7884,20,,,,,,
http://diglib.hab.de/drucke/xb-7887/start.htm,xb-7887,"9, 10, 11, 12, 13, 14, 15, 16, 17, 45, 53, 69, 71, 76, 86, 118",,,,,,
http://diglib.hab.de/drucke/xb-7953/start.htm,xb-7953,21,,,,,,
http://diglib.hab.de/drucke/xb-88-1/start.htm,xb-88-1,"235, 259, 277",,,,,,
http://diglib.hab.de/drucke/xb-9206-1b/start.htm,xb-9206-1b,"687, 863",,,,,,
http://diglib.hab.de/drucke/xb-9639/start.htm,xb-9639,5,,,,,,
