original_image_link,viewer_link,mets_link,bibliographical_description,author,title,publishing_place,publisher,publication_year
http://diglib.hab.de/drucke/218-quod-1s/00003.jpg,https://diglib.hab.de/drucke/218-quod-1s/start.htm?image=00003,https://diglib.hab.de/drucke/218-quod-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/218-quod-1s/00040.jpg,https://diglib.hab.de/drucke/218-quod-1s/start.htm?image=00040,https://diglib.hab.de/drucke/218-quod-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/218-quod-1s/00043.jpg,https://diglib.hab.de/drucke/218-quod-1s/start.htm?image=00043,https://diglib.hab.de/drucke/218-quod-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/218-quod-1s/00069.jpg,https://diglib.hab.de/drucke/218-quod-1s/start.htm?image=00069,https://diglib.hab.de/drucke/218-quod-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/218-quod-1s/00078.jpg,https://diglib.hab.de/drucke/218-quod-1s/start.htm?image=00078,https://diglib.hab.de/drucke/218-quod-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/24-1-med/00005.jpg,https://diglib.hab.de/drucke/24-1-med/start.htm?image=00005,https://diglib.hab.de/drucke/24-1-med/mets.xml,"Croll, Oswald [u. a.]: Hermetischer Probier Stein","Croll, Oswald [u. a.]",Hermetischer Probier Stein,,Hermetischer,
http://diglib.hab.de/drucke/24-1-med/00491.jpg,https://diglib.hab.de/drucke/24-1-med/start.htm?image=00491,https://diglib.hab.de/drucke/24-1-med/mets.xml,"Croll, Oswald [u. a.]: Hermetischer Probier Stein","Croll, Oswald [u. a.]",Hermetischer Probier Stein,,Hermetischer,
http://diglib.hab.de/drucke/24-1-med/00492.jpg,https://diglib.hab.de/drucke/24-1-med/start.htm?image=00492,https://diglib.hab.de/drucke/24-1-med/mets.xml,"Croll, Oswald [u. a.]: Hermetischer Probier Stein","Croll, Oswald [u. a.]",Hermetischer Probier Stein,,Hermetischer,
http://diglib.hab.de/drucke/26-8-med-2s/00026.jpg,https://diglib.hab.de/drucke/26-8-med-2s/start.htm?image=00026,https://diglib.hab.de/drucke/26-8-med-2s/mets.xml,,,,,,
http://diglib.hab.de/drucke/26-8-med-2s/00033.jpg,https://diglib.hab.de/drucke/26-8-med-2s/start.htm?image=00033,https://diglib.hab.de/drucke/26-8-med-2s/mets.xml,,,,,,
http://diglib.hab.de/drucke/26-8-med-2s/00047.jpg,https://diglib.hab.de/drucke/26-8-med-2s/start.htm?image=00047,https://diglib.hab.de/drucke/26-8-med-2s/mets.xml,,,,,,
http://diglib.hab.de/drucke/26-8-med-2s/00050.jpg,https://diglib.hab.de/drucke/26-8-med-2s/start.htm?image=00050,https://diglib.hab.de/drucke/26-8-med-2s/mets.xml,,,,,,
http://diglib.hab.de/drucke/26-8-med-2s/00154.jpg,https://diglib.hab.de/drucke/26-8-med-2s/start.htm?image=00154,https://diglib.hab.de/drucke/26-8-med-2s/mets.xml,,,,,,
http://diglib.hab.de/drucke/29-2-med-2f/00009.jpg,https://diglib.hab.de/drucke/29-2-med-2f/start.htm?image=00009,https://diglib.hab.de/drucke/29-2-med-2f/mets.xml,,,,,,
http://diglib.hab.de/drucke/29-2-med-2f/00768.jpg,https://diglib.hab.de/drucke/29-2-med-2f/start.htm?image=00768,https://diglib.hab.de/drucke/29-2-med-2f/mets.xml,,,,,,
http://diglib.hab.de/drucke/29-2-med-2f/00769.jpg,https://diglib.hab.de/drucke/29-2-med-2f/start.htm?image=00769,https://diglib.hab.de/drucke/29-2-med-2f/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00100.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00100,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00117.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00117,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00131.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00131,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00132.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00132,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00133.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00133,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00137.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00137,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00139.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00139,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00194.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00194,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00199.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00199,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00202.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00202,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00213.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00213,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00215.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00215,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00223.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00223,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00232.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00232,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00233.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00233,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00234.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00234,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00238.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00238,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00249.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00249,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00250.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00250,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00266.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00266,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00347.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00347,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00349.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00349,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00350.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00350,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00352.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00352,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00353.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00353,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00360.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00360,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00361.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00361,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00362.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00362,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00363.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00363,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00364.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00364,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00389.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00389,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00390.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00390,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00391.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00391,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00394.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00394,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00395.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00395,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00397.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00397,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00398.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00398,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00400.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00400,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00402.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00402,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/3-bell/00403.jpg,https://diglib.hab.de/drucke/3-bell/start.htm?image=00403,https://diglib.hab.de/drucke/3-bell/mets.xml,,,,,,
http://diglib.hab.de/drucke/30-med-2f-1s/00068.jpg,https://diglib.hab.de/drucke/30-med-2f-1s/start.htm?image=00068,https://diglib.hab.de/drucke/30-med-2f-1s/mets.xml,,,,,,
