signature_link,signature,page_numbers_included,bibliographic_description,author,title,shorttitle,publishing_place,publisher,publication_year
http://diglib.hab.de/drucke/xb-3832/start.htm,xb-3832,"91, 95, 103, 119, 139, 143","Gedani: Tancke, 1682",Unknown,"Gebri, Regis Arabum Philosophi Perspicacissimi...",Summa perfectionis Magisterii,Gedani / Gdańsk,Tancke,1682
http://diglib.hab.de/drucke/xb-4679-2s/start.htm,xb-4679-2s,"19, 23, 25, 29, 33, 36, 37, 42, 584","Leipzig: Gleditsch, 1694","Blancard, Stephan",Theatrum Chimicum Oder Eröffneter Schau-Platz...,Theatrum Chimicum,Leipzig / Leipzig,Gleditsch,1694
http://diglib.hab.de/drucke/xb-4819/start.htm,xb-4819,"7, 8, 9, 12, 14, 15, 19, 20, 23, 268","Franckfort am Mayn: Kopff, 1603",Unknown,Alchymistische Practic...,Alchymistische Practic,Franckfort am Mayn / Frankfurt am Main,Kopff,1603
http://diglib.hab.de/drucke/xb-4f-8-2/start.htm,xb-4f-8-2,"29, 30, 31, 192, 193","Oppenheimio: Bry, 1618","Fludd, Robertus",Utriusque Cosmi Maioris et Minoris Historia...,Utriusque Cosmi Historia,Oppenheimio / Oppenheim,Bry,1618
http://diglib.hab.de/drucke/xb-6197-2s/start.htm,xb-6197-2s,"301, 302, 304, 307, 413","Franckfurt am Mäyn: Bencard, 1687","Digby, Kenelm",Medicina Experimentalis Digbaeana...,Medicina Experimentalis,Franckfurt am Mäyn / Frankfurt am Main,Bencard,1687
http://diglib.hab.de/drucke/xb-7748/start.htm,xb-7748,136,"[Breslau]: Müller, 1658","Grasshoff, Johann",Aperta Arca Arcani Artificiossimi...,Aperta Arca,[Breslau] / Wrocław,Müller,1658
http://diglib.hab.de/drucke/xb-7884/start.htm,xb-7884,20,"[S.l.]: Autor, 1615","Khunrath, Heinrich",Warhafftiger Bericht Vom Philosophischen Athanore...,Philosophischer Athanor,[S.l.] / Unknown,Autor,1615
http://diglib.hab.de/drucke/xb-7887/start.htm,xb-7887,"9, 10, 11, 12, 13, 14, 15, 16, 17, 45, 53, 69, 71, 76, 86, 118","Franckfurt am Mayn: Steinmeyer, 1613","Kerzenmacher, Peter","Alchimia, Das ist/ Alle Farben/ Wasser/ Olea...",Alchimia,Franckfurt am Mayn / Frankfurt am Main,Steinmeyer,1613
http://diglib.hab.de/drucke/xb-7953/start.htm,xb-7953,21,"Hall in Sachsen: Krusicke, 1618","Hildebrandt, Johann Bernhard",De Lapide Philosophico...,De Lapide Philosophico,Hall in Sachsen / Halle,Krusicke,1618
http://diglib.hab.de/drucke/xb-88-1/start.htm,xb-88-1,"235, 259, 277","Franckfurt am Mäyn: Götze, 1658","Glauberus, Johannes Rudolphus",Opera Chymica...,Opera Chymica,Franckfurt am Mäyn / Frankfurt am Main,Götze,1658
http://diglib.hab.de/drucke/xb-9206-1b/start.htm,xb-9206-1b,"687, 863","Nürnberg: Zieger, 1680","Porta, Johann Baptista","Magia Naturalis, oder Haus- Kunst- und Wunder-Buch...",Magia Naturalis,Nürnberg / Nuremberg,Zieger,1680
http://diglib.hab.de/drucke/xb-9639/start.htm,xb-9639,5,"Franckfuhrt: Tampach, 1623","Croll, Oswald",Basilica Chymica oder Alchÿmistisch Königlich Kleÿnod...,Basilica Chymica,Franckfuhrt / Frankfurt,Tampach,1623
